province_id | province_name   | ward_id | ward_name               | data_full_count | data_no_full_count | total_count
5           | Tuyên Quang     | 3819    | Nghĩa Thuận             | 0               | 0                  | 0          
5           | Tuyên Quang     | 3765    | Ngọc Đường              | 2               | 1                  | 3          
5           | Tuyên Quang     | 3880    | Ngọc Long               | 0               | 0                  | 0          
5           | Tuyên Quang     | 10630   | Nhữ Khê                 | 0               | 0                  | 0          
5           | Tuyên Quang     | 3803    | Niêm Sơn                | 0               | 0                  | 0          
5           | Tuyên Quang     | 10607   | Nông Tiến               | 5               | 0                  | 5          
5           | Tuyên Quang     | 3862    | Pà Vầy Sủ               | 0               | 0                  | 0          
5           | Tuyên Quang     | 3752    | Phố Bảng                | 0               | 0                  | 0          
5           | Tuyên Quang     | 3839    | Phú Linh                | 0               | 0                  | 0          
5           | Tuyên Quang     | 10589   | Phú Lương               | 1               | 0                  | 1          
5           | Tuyên Quang     | 10543   | Phù Lưu                 | 3               | 0                  | 3          
5           | Tuyên Quang     | 3787    | Pờ Ly Ngài              | 0               | 0                  | 0          
5           | Tuyên Quang     | 3820    | Quản Bạ                 | 0               | 0                  | 0          
5           | Tuyên Quang     | 21070   | Quang Bình              | 0               | 0                  | 0          
5           | Tuyên Quang     | 3863    | Quảng Nguyên            | 0               | 0                  | 0          
5           | Tuyên Quang     | 3755    | Sà Phìn                 | 0               | 0                  | 0          
5           | Tuyên Quang     | 20849   | Sơn Dương               | 4               | 0                  | 4          
5           | Tuyên Quang     | 10588   | Sơn Thủy                | 0               | 0                  | 0          
5           | Tuyên Quang     | 3807    | Sơn Vĩ                  | 0               | 0                  | 0          
5           | Tuyên Quang     | 3808    | Sủng Máng               | 0               | 0                  | 0          
5           | Tuyên Quang     | 10522   | Tân An                  | 0               | 0                  | 0          
5           | Tuyên Quang     | 10636   | Tân Long                | 0               | 0                  | 0          
5           | Tuyên Quang     | 10523   | Tân Mỹ                  | 0               | 0                  | 0          
5           | Tuyên Quang     | 3735    | Tân Quang               | 0               | 1                  | 1          
