BDS_Location,Map,Cafeland_Suggestion,Score,BDS_ID,Sys_Ward_ID
"Xã Chí Thảo, Quảng Uyên, Cao Bằng",->,"Chí Thảo, Quảng Hòa",1.00,8571,7659
"Xã Độc Lập, Quảng Uyên, Cao Bằng",->,"Độc Lập, Quảng Hòa",1.00,8573,7661
"Xã Hạnh Phúc, Quảng Uyên, Cao Bằng",->,"Hạnh Phúc, Quảng Hòa",1.00,8575,7662
"Xã Hồng Quang, Quảng Uyên, Cao Bằng",->,"Hồng Quang, Quảng Hòa",1.00,8576,7675
"Xã Phúc Sen, Quảng Uyên, Cao Bằng",->,"Phúc Sen, Quảng Hòa",1.00,8578,7678
"Xã Phi Hải, Quảng Uyên, Cao Bằng",->,"Phi Hải, Quảng Hòa",1.00,8579,7677
"Xã Quảng Hưng, Quảng Uyên, Cao Bằng",->,"Quảng Hưng, Quảng Hòa",1.00,8581,21145
"Xã Tự Do, Quảng Uyên, Cao Bằng",->,"Tự Do, Quảng Hòa",1.00,8583,7682
"Xã Ngọc Động, Quảng Uyên, Cao Bằng",->,"Ngọc Động, Quảng Hòa",1.00,8584,21124
"Xã Ea Kao, Buôn Ma Thuột, Đắk Lắk",->,"EaKao, Buôn Ma Thuột",0.91,8993,10682
"Xã Ea Tu, Buôn Ma Thuột, Đắk Lắk",->,"Eatu, Buôn Ma Thuột",0.89,8994,10683
"Xã Dlê Yang, Ea H'Leo, Đắk Lắk",->,"Dliê Yang, Ea H'leo",0.94,9002,10719
"Xã Cư M'lan, Ea Súp, Đắk Lắk",->,"Cư MLan, Ea Súp",0.93,9014,10745
"Xã Cư Dliê M'nông, Cư M'gar, Đắk Lắk",->,"Cư DliêM'Nông, Cư M'gar",0.96,9030,10701
"Xã Ea D'rơng, Cư M'gar, Đắk Lắk",->,"Ea DRơng, Cư M'gar",0.94,9034,10704
"Xã Cư Klông, Krông Năng, Đắk Lắk",->,"Chư Klông, Krông Năng",0.94,9066,10781
"Xã Dliê Ya, Krông Năng, Đắk Lắk",->,"Dliêya, Krông Năng",0.92,9067,10782
"Thị trấn Ea Kar, Ea Kar, Đắk Lắk",->,"Ea Kar, Ea Kra",1.00,9077,20832
"Thị trấn Ea Knốp, Ea Kar, Đắk Lắk",->,"Ea K Nốp, Ea Kra",0.93,9078,10736
"Xã Cư Bông, Ea Kar, Đắk Lắk",->,"Cư Bông, Ea Kra",1.00,9079,10729
"Xã Cư Huê, Ea Kar, Đắk Lắk",->,"Cư Hu, Ea Kra",0.91,9080,10731
"Xã Cư Yang, Ea Kar, Đắk Lắk",->,"Cư Yang, Ea Kra",1.00,9081,10734
"Xã Cư Ni, Ea Kar, Đắk Lắk",->,"Cư Ni, Ea Kra",1.00,9082,10732
"Xã Ea Đar, Ea Kar, Đắk Lắk",->,"Ea Đar, Ea Kra",1.00,9083,10735
"Xã Ea Kmút, Ea Kar, Đắk Lắk",->,"Ea Kmút, Ea Kra",1.00,9084,10737
"Xã Cư Elang, Ea Kar, Đắk Lắk",->,"Cư Elang, Ea Kra",1.00,9085,10730
"Xã Ea Ô, Ea Kar, Đắk Lắk",->,"Ea Ô, Ea Kra",1.00,9086,10738
"Xã Cư Prông, Ea Kar, Đắk Lắk",->,"Cư Prông, Ea Kra",1.00,9087,10733
"Xã Ea Păl, Ea Kar, Đắk Lắk",->,"Ea Păl, Ea Kra",1.00,9088,10739
"Xã Ea Sô, Ea Kar, Đắk Lắk",->,"Ea Sô, Ea Kra",1.00,9089,10741
"Xã Ea Tíh, Ea Kar, Đắk Lắk",->,"Ea Tíh, Ea Kra",1.00,9090,10742
"Xã Xuân Phú, Ea Kar, Đắk Lắk",->,"Xuân Phú, Ea Kra",1.00,9091,10743
"Xã Cư Króa, M'Đrăk, Đắk Lắk",->,"Cư Kroá, M'Đrắt",1.00,9094,10818
"Xã Cư M'ta, M'Đrăk, Đắk Lắk",->,"Cư M'Ta, M'Đrắt",1.00,9095,10819
"Xã Cư Prao, M'Đrăk, Đắk Lắk",->,"Cư Prao, M'Đrắt",1.00,9096,10820
"Xã Ea H'mlay, M'Đrăk, Đắk Lắk",->,"Ea H'Mlay, M'Đrắt",1.00,9097,10822
"Xã Ea Lai, M'Đrăk, Đắk Lắk",->,"Ea Lai, M'Đrắt",1.00,9098,10823
"Xã Ea Pil, M'Đrăk, Đắk Lắk",->,"Ea Pil, M'Đrắt",1.00,9100,10825
"Xã Ea Riêng, M'Đrăk, Đắk Lắk",->,"Ea Riêng, M'Đrắt",1.00,9101,10826
"Xã Ea Trang, M'Đrăk, Đắk Lắk",->,"Ea Trang, M'Đrắt",1.00,9102,10827
"Xã Krông Á, M'Đrăk, Đắk Lắk",->,"Krông Á, M'Đrắt",1.00,9103,10828
