province_id	province_name	ward_id	ward_name	total_uploaded
9	Thanh Hóa	9164	Yên Thắng	0
9	Thanh Hóa	9165	Mường Chanh	0
9	Thanh Hóa	9166	Mường Lý	0
9	Thanh Hóa	9167	Nhi Sơn	0
9	Thanh Hóa	9168	Pù Nhi	0
9	Thanh Hóa	9169	Quang Chiểu	0
9	Thanh Hóa	9170	Tam Chung	0
9	Thanh Hóa	9171	Mường Lát	0
9	Thanh Hóa	9172	Trung Lý	0
9	Thanh Hóa	9173	Ba Đình	6
9	Thanh Hóa	9174	Nga An	6
9	Thanh Hóa	9178	Hồ Vương	4
9	Thanh Hóa	9188	Nga Thắng	0
9	Thanh Hóa	9193	Tân Tiến	7
9	Thanh Hóa	9202	Kiên Thọ	6
9	Thanh Hóa	9205	Minh Sơn	13
9	Thanh Hóa	9208	Ngọc Lặc	22
9	Thanh Hóa	9209	Ngọc Liên	6
9	Thanh Hóa	9212	Nguyệt Ấn	12
9	Thanh Hóa	9217	Thạch Lập	14
9	Thanh Hóa	9220	Như Thanh	1
9	Thanh Hóa	9224	Mậu Lâm	1
9	Thanh Hóa	9228	Thanh Kỳ	1
9	Thanh Hóa	9230	Xuân Du	2
9	Thanh Hóa	9233	Xuân Thái	0
9	Thanh Hóa	9236	Yên Thọ	1
9	Thanh Hóa	9241	Hóa Quỳ	1
9	Thanh Hóa	9245	Thanh Phong	0
9	Thanh Hóa	9246	Thanh Quân	0
9	Thanh Hóa	9249	Thượng Ninh	0
9	Thanh Hóa	9250	Xuân Bình	1
9	Thanh Hóa	9253	Như Xuân	2
9	Thanh Hóa	9256	Công Chính	11
9	Thanh Hóa	9270	Thăng Bình	2
9	Thanh Hóa	9273	Trung Chính	2
9	Thanh Hóa	9274	Thắng Lợi	2
9	Thanh Hóa	9277	Trường Văn	10
9	Thanh Hóa	9280	Tượng Lĩnh	6
9	Thanh Hóa	9288	Hiền Kiệt	0
9	Thanh Hóa	9289	Hồi Xuân	0
9	Thanh Hóa	9292	Nam Xuân	0
9	Thanh Hóa	9293	Phú Lệ	0
9	Thanh Hóa	9297	Phú Xuân	0
9	Thanh Hóa	9300	Thiên Phủ	0
9	Thanh Hóa	9301	Trung Sơn	13
9	Thanh Hóa	9302	Trung Thành	0
9	Thanh Hóa	9304	Mường Mìn	0
9	Thanh Hóa	9305	Na Mèo	0
9	Thanh Hóa	9306	Sơn Điện	0
9	Thanh Hóa	9309	Sơn Thủy	0
9	Thanh Hóa	9310	Tam Lư	0
9	Thanh Hóa	9311	Tam Thanh	0
9	Thanh Hóa	9312	Trung Hạ	0
9	Thanh Hóa	9313	Quan Sơn	0
9	Thanh Hóa	9316	Quảng Bình	8
9	Thanh Hóa	9319	Quảng Chính	2
9	Thanh Hóa	9336	Quảng Ngọc	3
9	Thanh Hóa	9339	Quảng Ninh	7
9	Thanh Hóa	9341	Quảng Phú	88
9	Thanh Hóa	9353	Nam Sầm Sơn	24
9	Thanh Hóa	9355	Quảng Yên	9
9	Thanh Hóa	9356	Sầm Sơn	93
9	Thanh Hóa	9361	Kim Tân	6
9	Thanh Hóa	9362	Ngọc Trạo	6
9	Thanh Hóa	9363	Thạch Bình	23
9	Thanh Hóa	9369	Thạch Quảng	69
9	Thanh Hóa	9386	Thành Vinh	29
9	Thanh Hóa	9388	Vân Du	3
9	Thanh Hóa	9397	Hàm Rồng	36
9	Thanh Hóa	9401	Hạc Thành	405
9	Thanh Hóa	9403	Đông Quang	78
9	Thanh Hóa	9409	Lam Sơn	2
9	Thanh Hóa	9413	Sao Vàng	27
9	Thanh Hóa	9418	Thọ Lập	0
9	Thanh Hóa	9419	Thọ Long	2
9	Thanh Hóa	9428	Xuân Hòa	6
9	Thanh Hóa	9433	Xuân Lập	14
9	Thanh Hóa	9443	Xuân Tín	1
9	Thanh Hóa	9447	Bát Mọt	0
9	Thanh Hóa	9449	Luận Thành	0
9	Thanh Hóa	9450	Lương Sơn	2
9	Thanh Hóa	9452	Tân Thành	0
9	Thanh Hóa	9454	Vạn Xuân	0
9	Thanh Hóa	9457	Xuân Chinh	0
9	Thanh Hóa	9462	Thắng Lộc	0
9	Thanh Hóa	9465	Yên Nhân	0
9	Thanh Hóa	9468	Các Sơn	0
9	Thanh Hóa	9469	Hải Lĩnh	2
9	Thanh Hóa	9471	Hải Bình	3
9	Thanh Hóa	9474	Tĩnh Gia	3
9	Thanh Hóa	9483	Nghi Sơn	2
9	Thanh Hóa	9485	Đào Duy Từ	1
9	Thanh Hóa	9489	Tân Dân	0
9	Thanh Hóa	9491	Ngọc Sơn	2
9	Thanh Hóa	9495	Trúc Lâm	1
9	Thanh Hóa	9496	Trường Lâm	0
9	Thanh Hóa	9516	Thiệu Hóa	2
9	Thanh Hóa	9517	Thiệu Quang	1
9	Thanh Hóa	9522	Thiệu Tiến	2
9	Thanh Hóa	9523	Thiệu Toán	1
9	Thanh Hóa	9524	Thiệu Trung	1
9	Thanh Hóa	9530	An Nông	3
